,experiment_id,dataset_length,We,Wf,Wt,num_selected_tests_baseline,num_selected_tests_use_patterns,num_skipped_by_baseline_model,num_skipped_by_patterns
0,1,20000,1,4,1,4461,3485,11350,5165
1,2,20000,1,4,4,4461,4256,13366,2378
2,3,20000,1,8,1,4461,3485,11350,5165
3,4,20000,1,8,4,4461,4256,13366,2378
4,5,20000,1,12,1,4461,3485,11350,5165
5,6,20000,1,12,4,4461,4256,13366,2378
6,7,20000,4,4,1,2783,2507,14108,3385
7,8,20000,4,4,4,2783,2507,15279,2214
8,9,20000,4,8,1,2783,2507,14108,3385
9,10,20000,4,8,4,2783,2507,15279,2214
10,11,20000,4,12,1,2783,2507,14108,3385
11,12,20000,4,12,4,2783,2507,15279,2214
12,13,20000,8,4,1,1825,1687,15038,3275
13,14,20000,8,4,4,1825,1687,15646,2667
14,15,20000,8,8,1,1825,1687,15038,3275
15,16,20000,8,8,4,1825,1687,15646,2667
16,17,20000,8,12,1,1825,1687,15038,3275
17,18,20000,8,12,4,1825,1687,15646,2667
